epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,4832.71,1.83496,2.98798,2.43363,1.87304,0,0.43792,0.2281,0.17286,0.06094,0.45399,0.1853,0.16777,0.06197,2.33039,2.81756,2.82286,2.63254,0,0.008746,0.008746,0.008746
40,4959.92,1.8068,2.9383,2.38956,1.84667,0,0.48474,0.19683,0.17058,0.07052,0.48563,0.1847,0.1601,0.06643,2.27987,2.8143,2.88014,2.49557,0,0.008713,0.008713,0.008713
41,5079.3,1.81881,2.95085,2.38153,1.84745,0,0.24439,0.24543,0.18658,0.07368,0.22497,0.22453,0.17413,0.06723,2.24654,2.79324,2.77658,2.30633,0,0.00868,0.00868,0.00868
42,5198.71,1.85655,3.01267,2.42496,1.87117,0,0.47794,0.21001,0.17108,0.06241,0.44173,0.21223,0.16391,0.06023,2.29599,2.74812,2.77819,2.56752,0,0.008647,0.008647,0.008647
43,5318.55,1.83892,2.94522,2.42816,1.85786,0,0.45443,0.19184,0.15453,0.06274,0.45585,0.18008,0.1433,0.05481,2.26949,2.78225,2.79145,2.43563,0,0.008614,0.008614,0.008614
44,5441.31,1.83199,2.92237,2.40027,1.85213,0,0.44213,0.21998,0.16099,0.0608,0.43573,0.21958,0.15195,0.05655,2.23124,2.7575,2.81873,2.38855,0,0.008581,0.008581,0.008581
45,5563.35,1.81428,2.91922,2.34766,1.82611,0,0.46254,0.18906,0.15386,0.05814,0.44736,0.19314,0.14925,0.05673,2.32225,2.75766,2.93517,2.61757,0,0.008548,0.008548,0.008548
46,5685.41,1.78786,2.85698,2.33992,1.79444,0,0.47336,0.2522,0.19163,0.07105,0.47436,0.24611,0.18818,0.06892,2.28435,2.64728,2.71081,2.52431,0,0.008515,0.008515,0.008515
47,5805.72,1.79857,2.90483,2.36303,1.80146,0,0.50313,0.21982,0.1902,0.07045,0.49525,0.21974,0.18177,0.07082,2.29124,2.71162,2.70691,2.47553,0,0.008482,0.008482,0.008482
48,5926.41,1.77059,2.88528,2.33003,1.79842,0,0.49217,0.19257,0.1697,0.06695,0.48861,0.1951,0.16455,0.06398,2.25243,2.70453,2.74041,2.48854,0,0.008449,0.008449,0.008449
49,6046.29,1.8019,2.88647,2.33933,1.80384,0,0.48248,0.24673,0.18709,0.06686,0.49546,0.24014,0.17757,0.06535,2.24101,2.65234,2.7822,2.60692,0,0.008416,0.008416,0.008416
50,6165.71,1.76023,2.85416,2.283,1.7923,0,0.51238,0.2383,0.19413,0.07129,0.51009,0.2383,0.18804,0.07124,2.31016,2.64552,2.71183,2.49358,0,0.008383,0.008383,0.008383
51,6286.55,1.78513,2.91924,2.35616,1.81033,0,0.49197,0.20321,0.19227,0.07197,0.49686,0.2062,0.18202,0.07396,2.26258,2.61443,2.73086,2.62973,0,0.00835,0.00835,0.00835
52,6409.14,1.76218,2.80856,2.24605,1.78255,0,0.49072,0.23577,0.21614,0.09,0.56646,0.20206,0.21157,0.08939,2.26518,2.63195,2.58699,2.63134,0,0.008317,0.008317,0.008317
53,6531.82,1.79278,2.82809,2.3109,1.80652,0,0.47265,0.2106,0.17063,0.0686,0.49424,0.19867,0.16816,0.06464,2.27555,2.70336,2.88188,2.483,0,0.008284,0.008284,0.008284
54,6653.56,1.75577,2.82079,2.27192,1.78582,0,0.4795,0.21743,0.17562,0.06466,0.47886,0.20655,0.17378,0.06777,2.34492,2.73094,2.80178,2.66777,0,0.008251,0.008251,0.008251
55,6774.02,1.71642,2.76235,2.21956,1.75754,0,0.5151,0.25206,0.20715,0.0858,0.49515,0.24463,0.2015,0.0857,2.22119,2.60885,2.69625,2.36293,0,0.008218,0.008218,0.008218
56,6894.55,1.74032,2.82257,2.24605,1.78084,0,0.22878,0.24851,0.18457,0.07099,0.23771,0.21955,0.17248,0.06422,2.24399,2.67555,2.69583,2.53341,0,0.008185,0.008185,0.008185
57,7015.42,1.73109,2.81605,2.25651,1.77291,0,0.45951,0.25437,0.17992,0.066,0.45725,0.24116,0.16668,0.06455,2.23871,2.64254,2.70922,2.52427,0,0.008152,0.008152,0.008152
58,7136.16,1.79134,2.89837,2.33144,1.82031,0,0.20654,0.24774,0.1905,0.07226,0.19953,0.23009,0.184,0.06651,2.22106,2.64039,2.67274,2.58857,0,0.008119,0.008119,0.008119
59,7257.04,1.68049,2.74361,2.19542,1.72785,0,0.45573,0.27577,0.18103,0.07235,0.48087,0.23993,0.17187,0.06814,2.20189,2.56793,2.54874,2.38744,0,0.008086,0.008086,0.008086
60,7378.69,1.72729,2.77764,2.2215,1.76256,0,0.34302,0.24674,0.21093,0.09097,0.35449,0.2264,0.1987,0.08295,2.19223,2.77685,2.64913,2.45775,0,0.008053,0.008053,0.008053
